Generation,Model,Announced,Released
Generation,Model,Announced,Released
1,iPhone,"January 9, 2007","June 29, 2007"
2,iPhone 3G,"June 9, 2008","July 11, 2008"
3,iPhone 3GS,"June 8, 2009","June 19, 2009"
4,iPhone 4,"June 7, 2010","June 24, 2010"
5,iPhone 4s,"October 4, 2011","October 14, 2011"
6,iPhone 5,"September 12, 2012","September 21, 2012"
6,iPhone 5c,"September 10, 2013","September 20, 2013"
7,iPhone 5s,"September 10, 2013","September 20, 2013"
8,iPhone 6,"September 9, 2014","September 19, 2014"
8,iPhone 6 Plus,"September 9, 2014","September 19, 2014"
9,iPhone 6s,"September 9, 2015","September 25, 2015"
9,iPhone 6s Plus,"September 9, 2015","September 25, 2015"
9,iPhone SE (1st generation),"March 21, 2016","March 31, 2016"
10,iPhone 7,"September 7, 2016","September 16, 2016"
10,iPhone 7 Plus,"September 7, 2016","September 16, 2016"
11,iPhone 8,"September 12, 2017","September 22, 2017"
11,iPhone 8 Plus,"September 12, 2017","September 22, 2017"
11,iPhone X,"September 12, 2017","November 3, 2017"
12,iPhone XR,"September 12, 2018","October 26, 2018"
12,iPhone XS,"September 12, 2018","September 21, 2018"
12,iPhone XS Max,"September 12, 2018","September 21, 2018"
13,iPhone 11,"September 10, 2019","September 20, 2019"
13,iPhone 11 Pro,"September 10, 2019","September 20, 2019"
13,iPhone 11 Pro Max,"September 10, 2019","September 20, 2019"
13,iPhone SE (2nd generation),"April 15, 2020","April 24, 2020"
14,iPhone 12,"October 13, 2020","October 23, 2020"
14,iPhone 12 Mini,"October 13, 2020","November 13, 2020"
14,iPhone 12 Pro,"October 13, 2020","October 23, 2020"
14,iPhone 12 Pro Max,"October 13, 2020","November 13, 2020"
15,iPhone 13,"September 14, 2021","September 24, 2021"
15,iPhone 13 Mini,"September 14, 2021","September 24, 2021"
15,iPhone 13 Pro,"September 14, 2021","September 24, 2021"
15,iPhone 13 Pro Max,"September 14, 2021","September 24, 2021"
15,iPhone SE (3rd generation),"March 8, 2022","March 18, 2022"
16,iPhone 14,"September 7, 2022","September 16, 2022"
16,iPhone 14 Plus,"September 7, 2022","October 7, 2022"
16,iPhone 14 Pro,"September 7, 2022","September 16, 2022"
16,iPhone 14 Pro Max,"September 7, 2022","September 16, 2022"
17,iPhone 15,"September 12, 2023","September 22, 2023"
17,iPhone 15 Plus,"September 12, 2023","September 22, 2023"
17,iPhone 15 Pro,"September 12, 2023","September 22, 2023"
17,iPhone 15 Pro Max,"September 12, 2023","September 22, 2023"
